Formatted_Date,Vsw,Vsw-12h,Vsw-24h,Vsw-36h,Nsw,Nsw-12h,Nsw-24h,Nsw-36h,by,by-12h,by-24h,by-36h,bz,bz-12h,bz-24h,bz-36h,Kp,Kp-12h,Kp-24h,Kp-36h,131keV,131keV-12h,131keV-24h,131keV-36h,272keV,272keV-12h,272keV-24h,272keV-36h,380keV,380keV-12h,380keV-24h,380keV-36h,906keV,906keV-12h,906keV-24h,906keV-36h,2MeV,2MeV-12h,2MeV-24h,2MeV-36h,mlt,131keV-next,272keV-next,380keV-next,906keV-next,2MeV-next
2024-04-14-06-40,331.8,333.35833333333335,333.4190476190476,333.4190476190476,2.8,0.9116666666666666,0.8380952380952381,0.8380952380952381,4.46,2.9658333333333333,2.907619047619048,2.907619047619048,1.19,2.940833333333334,3.00904761904762,3.00904761904762,1.3330000000000002,1.3330000000000002,1.3329999999999995,1.3329999999999995,6.230277749372778,6.221160436337954,6.21935863602722,6.21935863602722,5.7654128589290305,5.786981450261191,5.811023057572405,5.811023057572405,4.25927770299532,4.28322870842006,4.3086249219449435,4.3086249219449435,3.507191731022634,3.5288755513818746,3.556908974875232,3.556908974875232,1.0526319849170451,0.9388133074185542,0.7611313358228929,0.7611313358228929,1.62,6.021981005204543,5.684463812343149,4.322062183791357,3.9277848816746657,0.33885887836505524
2024-04-14-06-45,334.5,333.44166666666666,333.4681818181818,333.4681818181818,2.36,1.0466666666666666,0.9072727272727272,0.9072727272727272,4.78,3.1283333333333334,2.992727272727272,2.992727272727272,-0.03,2.68,2.8709090909090915,2.8709090909090915,1.3330000000000002,1.3330000000000002,1.3329999999999993,1.3329999999999993,6.230277749372778,6.2247081049049715,6.219854959361109,6.219854959361109,5.7654128589290305,5.779861868684091,5.808949866724979,5.808949866724979,4.25927770299532,4.276306718685813,4.306381866538142,4.306381866538142,3.507191731022634,3.523452630704205,3.55464910015466,3.55464910015466,1.0526319849170451,0.9896058765859315,0.7743813653271724,0.7743813653271724,1.7,5.995650563984714,5.74208819765645,4.33495694059082,3.855738092352337,0.4439950794001213
2024-04-14-06-50,327.5,332.94166666666666,333.2086956521739,333.2086956521739,2.82,1.22,0.9904347826086956,0.9904347826086956,4.05,3.23,3.038695652173912,3.038695652173912,-0.46,2.3833333333333333,2.72608695652174,2.72608695652174,1.3330000000000002,1.3330000000000002,1.3329999999999993,1.3329999999999993,6.230277749372778,6.227579921500288,6.220308124144225,6.220308124144225,5.7654128589290305,5.772221698283458,5.807056953342546,5.807056953342546,4.25927770299532,4.268604005215168,4.304333859427584,4.304333859427584,3.507191731022634,3.518454457876235,3.5525857362793545,3.5525857362793545,1.0526319849170451,0.9896058765859315,0.7864792183528192,0.7864792183528192,1.78,5.97876005964015,5.7716574967830505,4.36276073733005,3.979302441655147,0.279099720882132
2024-04-14-06-55,327.5,332.44166666666666,332.97083333333336,332.97083333333336,2.82,1.393333333333333,1.0666666666666669,1.0666666666666669,4.05,3.3316666666666666,3.0808333333333318,3.0808333333333318,-0.46,2.0866666666666664,2.593333333333334,2.593333333333334,1.3330000000000002,1.3330000000000002,1.3329999999999993,1.3329999999999993,6.258267172432664,6.232610201294442,6.221889751156244,6.221889751156244,5.793865888134131,5.767783944696122,5.806507325625527,5.806507325625527,4.2774496471044685,4.260792031671082,4.30321368391412,4.30321368391412,3.4606054978020637,3.5033095449209206,3.5487532263428,3.5487532263428,0.37862553975277113,0.9964647811533558,0.7694853150778169,0.7694853150778169,1.86,6.018824252457097,5.876338792073446,4.351428794315535,3.9579929471376287,1.0526319849170451
2024-04-14-07-00,323.7,331.625,332.5625,332.6,2.16,1.5116666666666667,1.1258333333333337,1.1104,3.39,3.3783333333333334,3.1041666666666656,3.0931999999999986,-0.85,1.7574999999999996,2.4287500000000004,2.4556000000000004,1.3330000000000002,1.3330000000000002,1.3329999999999993,1.3329999999999993,6.262575928556009,6.235301716226376,6.222611084995476,6.2235171982522335,5.811169707720243,5.771597015428723,5.804804832861607,5.806693820909317,4.32542325756813,4.266304161218816,4.301114383714505,4.304102066860281,3.72848835901695,3.521750930587113,3.553020632336872,3.555942631649766,0.5824733219662767,0.9572848925741251,0.7498953707882019,0.7620048353533556,1.95,6.064008783593604,5.886465952520294,4.404213222059779,3.9673945972874565,0.7085843703733138
2024-04-14-07-05,323.9,330.825,332.1625,332.2653846153846,1.89,1.6075000000000002,1.1737500000000003,1.1403846153846156,4.5,3.5175,3.1737499999999987,3.147307692307692,-2.47,1.2933333333333332,2.1966666666666668,2.2661538461538457,1.3330000000000002,1.3330000000000002,1.3329999999999993,1.3329999999999993,6.267412498982342,6.238396278693839,6.223714483584146,6.225205479049546,5.836105497279576,5.777488068624602,5.805126325055715,5.80782503923125,4.384751573164739,4.276760317066267,4.30282388046907,4.3072039709489145,3.503339249150989,3.5214298904311425,3.5503566719773243,3.5539194246305827,0.4895751709592385,0.9103634914109746,0.7499231968514386,0.7515267713381972,2.03,6.08520978196065,5.906568095921583,4.434793610602834,3.9665627836287563,0.5074161661112225
2024-04-14-07-10,323.9,330.0249999999998,331.7625,331.9555555555555,1.89,1.7033333333333338,1.2216666666666671,1.1681481481481482,4.5,3.6566666666666654,3.2433333333333323,3.197407407407406,-2.47,0.8291666666666665,1.9645833333333336,2.090740740740741,1.3330000000000002,1.3330000000000002,1.3329999999999993,1.3329999999999993,6.265084670214012,6.24129685543061,6.225167508408692,6.226682486129711,5.848323418753428,5.784397281943302,5.8047583357718455,5.809324979213555,4.32349679732679,4.282111908260557,4.303156423804919,4.307807408962909,3.560102011777394,3.5258390804940394,3.5487989405295837,3.5541484093397235,0.45983990924744067,0.8609641517718409,0.7549277142578532,0.7407235542237247,2.11,6.107805197300767,5.929671049820519,4.446189314122176,3.921715587160784,0.4847472290883451
2024-04-14-07-15,329.9,329.7249999999999,331.6124999999999,331.8821428571428,1.74,1.7866666666666668,1.2633333333333336,1.1885714285714286,2.64,3.6408333333333336,3.2354166666666657,3.177499999999999,-1.46,0.44916666666666655,1.7745833333333338,1.9639285714285717,1.3330000000000002,1.3330000000000002,1.3329999999999993,1.3329999999999989,6.267918154527232,6.244433555860146,6.227133299232026,6.2281551885724795,5.831042490505789,5.789866417908032,5.804953520723009,5.8101006046168475,4.308660519895319,4.286227143002224,4.30308371588646,4.307837877210496,3.6074233046730333,3.534191711631572,3.548431856562064,3.556051084173057,0.6076234017806095,0.8238801031771379,0.7517564499824227,0.7359699773507562,2.19,6.142202899262784,5.946417088471749,4.442235892121336,3.9818128410801723,0.3374554080507013
2024-04-14-07-20,324.4,328.96666666666647,331.23333333333335,331.62413793103445,1.82,1.8766666666666671,1.3083333333333338,1.210344827586207,3.99,3.7375000000000007,3.2837499999999986,3.2055172413793085,-1.92,0.03083333333333323,1.565416666666667,1.8300000000000003,1.3330000000000002,1.3330000000000002,1.3329999999999993,1.3329999999999989,6.250077486692563,6.246083533970129,6.228596065635342,6.2289111298869635,5.845290910591366,5.796522922213226,5.804006638789884,5.811314063443556,4.364886203627118,4.295027851388206,4.303062565283853,4.309805060880035,3.6491523634895566,3.5460217643371497,3.551170131283012,3.559261473115005,0.5112708351225397,0.7787666740275958,0.7534199732052808,0.7282217310670248,2.27,6.1892551376884075,5.961153595072667,4.438272921723855,3.9599222581317024,0.2802710969692763
2024-04-14-07-25,324.4,328.2083333333332,330.85416666666663,331.38333333333327,1.82,1.9666666666666683,1.3533333333333335,1.2306666666666668,3.99,3.8341666666666683,3.332083333333332,3.231666666666665,-1.92,-0.3875000000000001,1.3562500000000002,1.7050000000000003,1.3330000000000002,1.3330000000000002,1.3329999999999993,1.3329999999999989,6.23626157730671,6.246582186297957,6.230037400312403,6.229156144800955,5.93107062088665,5.810327735709695,5.808611877110995,5.815305948691659,4.373074468103993,4.304510915147263,4.30342878098975,4.311914041120834,3.613332928066079,3.55486686409077,3.5517083021903755,3.561063854946708,0.1955922138843269,0.7073466931082025,0.7510961946789424,0.7104674138276014,2.36,6.243647844927217,6.006591586215622,4.527038629327682,3.996986727928972,0.3645951621239667
