Formatted_Date,Kp,2MeV,131keV,272keV,380keV,906keV,Nsw,Vsw,by,bz,mlt
2024-04-14-12-40,1.3330000000000002,2.400333603750555,3.193421513762814,2.5482358965091905,2.2523190411767837,1.4030428063876874,1.37,354.5,-0.47,3.53,7.53
2024-04-14-12-45,1.3330000000000002,2.351136048752152,3.210460325876906,2.5492749510281936,2.2349963582833823,1.3947936617836718,1.22,354.6,-3.78,-0.68,7.61
2024-04-14-12-50,1.3330000000000002,1.9172310393379086,3.236220042913482,2.555969339098197,2.240886703495403,1.3860002126866682,1.22,354.6,-3.78,-0.68,7.7
2024-04-14-12-55,1.3330000000000002,2.4435048761831437,3.260193304136364,2.54065736842124,2.2555863551031754,1.408104146286575,0.84,358.9,-2.44,1.11,7.78
2024-04-14-13-00,1.3330000000000002,2.473644960063936,3.277377959329239,2.5385153311355864,2.2754903293602977,1.4186871061619846,0.74,360.0,-1.92,2.27,7.86
2024-04-14-13-05,1.3330000000000002,2.367866169785125,3.304959174076825,2.5556062754335835,2.2895528641961564,1.4209948125509504,0.61,363.0,-1.6,2.18,7.95
2024-04-14-13-10,1.3330000000000002,2.2912734830617394,3.319045031179622,2.5700973970541434,2.278143820641183,1.43056121000081,0.37,357.3,-1.76,1.63,8.03
2024-04-14-13-15,1.3330000000000002,2.4298548479195983,3.329773908147556,2.5870909589349877,2.2813996647986214,1.4419921858466755,0.29,357.3,0.02,4.03,8.12
2024-04-14-13-20,1.3330000000000002,2.5382638046357884,3.3295251450859924,2.589113034690934,2.27851053836586,1.4351502607766795,0.22,364.1,1.6,4.01,8.2
2024-04-14-13-25,1.3330000000000002,2.5257990539176483,3.3335478304300827,2.5956781350099387,2.295977499653133,1.444757385433523,0.29,368.0,2.27,4.0,8.29
2024-04-14-13-30,1.3330000000000002,2.3989069754821797,3.3355229823914376,2.591597788610699,2.3014722423780913,1.4515660499614897,0.36,369.2,3.66,2.45,8.37
2024-04-14-13-35,1.3330000000000002,2.3846003709595944,3.328023588639014,2.578821644909035,2.303005915433129,1.4429118336674467,0.31,374.6,3.37,2.99,8.46
2024-04-14-13-40,1.3330000000000002,2.5836899872035684,3.3213949710973325,2.5796739614259008,2.2926774468066435,1.4648500652997904,0.31,374.6,3.37,2.99,8.54
2024-04-14-13-45,1.3330000000000002,2.5287881054832195,3.313038581194501,2.5860327711055704,2.2881244107182517,1.4592342554037614,0.34,367.9,-3.34,2.04,8.62
2024-04-14-13-50,1.3330000000000002,2.584741340519827,3.3176627381397297,2.5976261009790473,2.3063997958602953,1.4481428881549534,0.34,367.9,-3.34,2.04,8.71
2024-04-14-13-55,1.3330000000000002,2.4984055066176882,3.3267524247855573,2.593239068237845,2.3024709213860053,1.4601180862291867,0.41,367.2,-3.31,1.93,8.79
